Resistor (ohm),FFT(RMS),TOT(RMS)
11.14,3.19,3.205
513,4.1,4.11
1782,4.45,4.465
3387,4.588,4.6022
5808,4.669,5.015
8097,4.9939,5.0333
9861,5.0145,5.0403
13600,5.0462,5.0749
23.58,3.6186,3.6267
52.6,3.9075,3.9155
73.6,4.0825,4.0955
95.5,4.2179,4.2310
150.2,4.4754,4.4903
195.3,4.6989,4.7112
257.2,4.8822,4.8992
304.6,4.9973,5.0160
350,5.1725,5.1933
123.5,4.3852,4.3967
34.5,3.9427,3.9525
39, 4.0702,4.0809
64.6,4.2885,4.2956
950,5.5714,5.7059
29.5,3.8773,3.8861
72,4.3524,4.3614
